,Station_Id,Name,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,Unnamed: 7,Latitude,Longitude
0,ASFW1,RAINIER PARADISE RANGER STN,1654 meters,snowdepth,2006-02-28 20,462.28,cm,,46.7861,-121.7422
1,CRLO3,CRATER LAKE NATIONAL PARK HQ,1973 meters,snowdepth,2006-02-28 16,373.38,cm,,42.8967,-122.1328
2,ATAU1,ALTA,2660 meters,snowdepth,2006-02-28 12,276.86,cm,,40.5906,-111.6369
3,DWDI1,DEADWOOD LODGE,1812 meters,snowdepth,2006-02-28 15,243.84,cm,,44.4622,-115.5817
4,SNBU1,SNOWBIRD SKI RESORT,2642 meters,snowdepth,2006-02-28 12,210.82,cm,,40.5833,-111.6667
5,MSAC2,MESA SPOTTER,2044 meters,snowdepth,2006-02-28 14,167.64,cm,,39.1133,-108.1433
6,MMNV1,MT. MANSFIELD,1203 meters,snowdepth,2006-02-28 21,165.1,cm,,44.5333,-72.8167
7,CHEO3,CHEMULT,1450 meters,snowdepth,2006-02-28 16,147.32,cm,,43.2264,-121.7894
8,GTHC2,GOTHIC,2886 meters,snowdepth,2006-02-28 19,129.54,cm,,38.9667,-106.9833
9,WSAC2,SKI AREA,3243 meters,snowdepth,2006-02-28 14,129.54,cm,,37.4833,-106.7906
10,MZAW1,MAZAMA,661 meters,snowdepth,2006-03-01 03,114.3,cm,,48.6047,-120.4497
11,GMSM4,GRAND MARAIS 13S,0 meters,snowdepth,2006-02-28 12,106.68,cm,,46.5094,-85.9631
12,PEXM4,PHOENIX FARM,303 meters,snowdepth,2006-02-28 12,104.14,cm,,47.3717,-88.2581
13,KETI1,RANGER STATION,1795 meters,snowdepth,2006-02-28 17,101.6,cm,,43.6842,-114.3603
14,PDLM4,PAINESDALE,387 meters,snowdepth,2006-02-28 12,99.06,cm,,47.0344,-88.6692
15,BNWW4,BONDURANT,1991 meters,snowdepth,2006-03-01 01,99.06,cm,,43.2067,-110.3914
16,WTPC2,"WINTER PARK,CO",2760 meters,snowdepth,2006-02-28 15,99.06,cm,,39.8903,-105.7617
17,LDGC1,LODGEPOLE,2052 meters,snowdepth,2006-03-01 06,99.06,cm,,36.6044,-118.7325
18,HOWO3,HOWARD PRAIRIE DAM,1392 meters,snowdepth,2006-02-28 16,93.98,cm,,42.2292,-122.3814
19,BURW4,BURGESS JUNCTION,2450 meters,snowdepth,2006-02-28 14,91.44,cm,,44.7753,-107.5219
20,OCKC2,OAK CREEK,2499 meters,snowdepth,2006-03-01 03,91.44,cm,,40.2406,-107.0964
21,DIXI1,DIXIE,1712 meters,snowdepth,2006-02-28 16,91.44,cm,,45.5528,-115.4614
22,BGSM8,BIG SKY 2 WNW,2008 meters,snowdepth,2006-03-01 00,88.9,cm,,45.2769,-111.3242
23,STBC2,STEAMBOAT SPRINGS SPOTTER,2140 meters,snowdepth,2006-02-28 19,83.82,cm,,40.4728,-106.8103
24,EYPW4,YELLOWSTONE NP EAST ENT,2118 meters,snowdepth,2006-02-28 14,81.28,cm,,44.5075,-110.0003
25,POWI1,POWELL,1075 meters,snowdepth,2006-02-28 15,81.28,cm,,46.51,-114.7111
26,BERI1,BERN,1817 meters,snowdepth,2006-02-28 15,78.74,cm,,42.3353,-111.385
27,MQT,"MARQUETTE, MI",430 meters,snowdepth,2006-03-01 00,78.74,cm,,46.5311,-87.5483
28,KETM4,PAINT LAKE,457 meters,snowdepth,2006-02-28 13,78.74,cm,,46.3247,-88.8803
29,DGSQ1,DEGELIS,151 meters,snowdepth,2006-02-28 13,74.0,cm,,47.56667,-68.63333
30,SVRW4,STAR VALLEY RANCH,1892 meters,snowdepth,2006-02-28 14,73.66,cm,,42.9031,-110.9828
31,MDHC2,MEREDITH UPPER COLORADO RVR PROJECT/COOP,2385 meters,snowdepth,2006-02-28 19,73.66,cm,,39.3619,-106.7422
32,MHKM4,MOHAWK,317 meters,snowdepth,2006-02-28 22,71.12,cm,,47.3058,-88.3639
33,CLKM4,"6MI.E CHAMPION,MI",463 meters,snowdepth,2006-02-28 12,71.12,cm,,46.5014,-87.8458
34,FLKM4,FORTUNE LAKE,437 meters,snowdepth,2006-02-28 13,71.12,cm,,46.095,-88.4258
35,CRMI1,"CRATERS OF THE MOON,ID",1797 meters,snowdepth,2006-02-28 23,71.12,cm,,43.465,-113.5581
36,CBUC2,CRESTED BUTTE COOP,2700 meters,snowdepth,2006-02-28 19,71.12,cm,,38.8786,-106.9761
37,ASHI1,ASHTON,1599 meters,snowdepth,2006-02-28 16,68.58,cm,,44.0733,-111.4556
38,PICM4,PICKFORD 3NE,191 meters,snowdepth,2006-02-28 23,68.58,cm,,46.1864,-84.3239
39,HURW3,"HURLEY,WI",268 meters,snowdepth,2006-02-28 14,68.58,cm,,46.4608,-90.1953
40,ANJ,SAULT STE MARIE,210 meters,snowdepth,2006-03-01 00,66.04,cm,,46.4667,-84.3667
41,ATMM4,ATLANTIC MINE 5NW,256 meters,snowdepth,2006-02-28 13,66.04,cm,,47.1544,-88.7167
42,LGKW3,LONG LAKE 3-NE,454 meters,snowdepth,2006-02-28 13,66.04,cm,,45.8825,-88.6314
43,FISM1,"1MI.E FORT KENT,ME",159 meters,snowdepth,2006-02-28 13,66.04,cm,,47.25,-68.5833
44,CONW3,CONOVER 2 SE,520 meters,snowdepth,2006-02-28 13,66.04,cm,,46.025,-89.2325
45,HAUM8,HAUGAN 1 W,963 meters,snowdepth,2006-02-28 13,66.04,cm,,47.3889,-115.4225
46,ALGM1,ALLAGASH,181 meters,snowdepth,2006-02-28 13,66.04,cm,,47.0886,-69.025
47,HOKN6,HOOKER - 7MI.NNW,493 meters,snowdepth,2006-02-28 11,63.5,cm,,43.7667,-75.75
48,HLYI1,HAILEY,1619 meters,snowdepth,2006-02-28 15,63.5,cm,,43.5186,-114.3025
49,CHSN2,CHARLESTON,1812 meters,snowdepth,2006-02-28 16,63.5,cm,,41.6814,-115.5289
50,TRTM4,"TROUT LAKE,MI",256 meters,snowdepth,2006-02-28 23,63.5,cm,,46.1942,-85.0236
51,PSCN6,"PISECO,NY",527 meters,snowdepth,2006-02-28 12,63.5,cm,,43.45,-74.5333
52,WGLM8,WEST GLACIER,961 meters,snowdepth,2006-03-01 00,60.96,cm,,48.5,-113.9844
53,CASI1,CASCADE 1 NW,1492 meters,snowdepth,2006-02-28 18,60.96,cm,,44.5228,-116.0481
54,ALPM4,5.5MI.NNW FRM ALPENA RGAL ARPT,221 meters,snowdepth,2006-02-28 12,60.96,cm,,45.1617,-83.5922
55,GLDM4,GLADSTONE,217 meters,snowdepth,2006-03-01 00,60.96,cm,,45.8128,-87.0619
56,LNGN8,EXPERIMENTAL FARM,492 meters,snowdepth,2006-02-28 14,58.42,cm,,48.75,-98.3333
57,BABM5,"BABBITT,MN",454 meters,snowdepth,2006-02-28 12,58.42,cm,,47.7103,-91.9442
58,LKSW3,LAND O LAKES 4W CONSERVE,537 meters,snowdepth,2006-02-28 15,58.42,cm,,46.1744,-89.3075
59,GLKC2,"1MI.NW GRAND LAKE,CO",2657 meters,snowdepth,2006-03-01 00,58.42,cm,,40.2669,-105.8322
60,SWLM8,SWAN LAKE,944 meters,snowdepth,2006-02-28 15,58.42,cm,,47.9203,-113.8394
61,APXM4,S. 1.4MI. OTSEGO LAKE,446 meters,snowdepth,2006-02-28 12,58.42,cm,,44.9075,-84.7194
62,PRQW3,PRESQUE ISLE,502 meters,snowdepth,2006-02-28 14,55.88,cm,,46.2478,-89.7292
63,SELM8,SEELEY LAKE RS,1249 meters,snowdepth,2006-03-01 00,55.88,cm,,47.2142,-113.5203
64,PLNW1,PLAIN,591 meters,snowdepth,2006-03-01 03,55.88,cm,,47.7811,-120.6508
65,BIGN3,"10MI.ENE COLEBROOK,NH",678 meters,snowdepth,2006-02-28 12,55.88,cm,,44.95,-71.3167
66,WNPW1,WINTHROP 1 WSW,534 meters,snowdepth,2006-03-01 00,55.88,cm,,48.4531,-120.1936
67,PHEW3,DEERSKIN DAM,512 meters,snowdepth,2006-02-28 13,55.88,cm,,46.05,-89.0333
68,MRAM4,MORAN,211 meters,snowdepth,2006-02-28 13,53.34,cm,,45.9903,-84.8361
69,DLH,"DULUTH, MN",435 meters,snowdepth,2006-03-01 00,53.34,cm,,46.8369,-92.2103
70,WTNM4,"3MI.W WATTON,MI",434 meters,snowdepth,2006-02-28 22,53.34,cm,,46.5103,-88.6667
71,RLWM5,CAMP NORRIS DNR,392 meters,snowdepth,2006-02-28 13,53.34,cm,,48.61,-95.1817
72,BJTW3,BOULDER JUNCTION 2-N,507 meters,snowdepth,2006-02-28 13,53.34,cm,,46.1381,-89.6275
73,THRW3,"1MI.SSE HILES,WI",497 meters,snowdepth,2006-02-28 14,53.34,cm,,45.665,-88.9614
74,ARRW3,AURORA-4W,393 meters,snowdepth,2006-02-28 16,53.34,cm,,45.7903,-88.1786
75,AURW3,AURORA,368 meters,snowdepth,2006-02-28 13,50.8,cm,,45.77,-88.1181
76,MEAO3,MEACHAM NO. 2,1132 meters,snowdepth,2006-02-28 14,50.8,cm,,45.5086,-118.4231
77,LOKW3,LAND O LAKES 10W,518 meters,snowdepth,2006-02-28 14,50.8,cm,,46.1917,-89.4308
78,EARW3,"EAGLE RIVER,WI",501 meters,snowdepth,2006-02-28 13,50.8,cm,,45.9167,-89.25
79,BGBM4,"1MI.S BIG BAY,MI",207 meters,snowdepth,2006-02-28 13,50.8,cm,,46.8,-87.7333
80,SAXW3,USGS-MONTREAL RIVER,286 meters,snowdepth,2006-02-28 14,48.26,cm,,46.5369,-90.3797
81,PBAN8,SITE 1-3MI.N,240 meters,snowdepth,2006-02-28 13,48.26,cm,,48.9742,-97.2386
82,ONAM4,ST PR,210 meters,snowdepth,2006-02-28 23,48.26,cm,,45.4336,-84.2339
83,MALC1,MAMMOTH LAKES R.S.,2378 meters,snowdepth,2006-02-28 15,48.26,cm,,37.6478,-118.9617
84,TOWM5,"3MI.S TOWER,MN",445 meters,snowdepth,2006-02-28 13,48.26,cm,,47.7553,-92.2858
85,BKCC2,BLACK CANYON OF THE GUNNISON,2484 meters,snowdepth,2006-02-28 19,48.26,cm,,38.5547,-107.6869
86,ATLM4,"5MI.WNW ATLANTA,MI",356 meters,snowdepth,2006-02-28 12,48.26,cm,,44.9933,-84.1625
87,HTL,"HOUGHTON LAKE,MI",350 meters,snowdepth,2006-03-01 00,48.26,cm,,44.35,-84.6667
88,CKSM4,COOKS 2NE,238 meters,snowdepth,2006-02-28 13,48.26,cm,,45.9417,-86.4425
89,SLAM8,SULA 14 NE,1572 meters,snowdepth,2006-02-28 18,48.26,cm,,45.9106,-113.7383
90,RLGW1,LONGMIRE RAINER NPS,841 meters,snowdepth,2006-02-28 16,48.26,cm,,46.7492,-121.8119
91,FLNW3,"FLORENCE,WI",397 meters,snowdepth,2006-02-28 13,48.26,cm,,45.925,-88.2569
92,EMBM5,"EMBARASS,MN",426 meters,snowdepth,2006-02-28 14,48.26,cm,,47.6581,-92.1958
93,LYBM8,LIBBY 32 SSE,1097 meters,snowdepth,2006-03-01 00,45.72,cm,,47.9733,-115.2239
94,KABM5,KABETOGAMA LAKE VISITOR CTR,348 meters,snowdepth,2006-02-28 13,45.72,cm,,46.4456,-93.0283
95,DBSI1,DUBOIS EXPERIMENT STATION,1661 meters,snowdepth,2006-03-01 00,45.72,cm,,44.2436,-112.2006
96,COKM5,"5MI.E COOK,MN",428 meters,snowdepth,2006-02-28 14,45.72,cm,,47.8506,-92.6925
97,ZNOM4,NORWAY,297 meters,snowdepth,2006-02-28 22,45.72,cm,,45.7781,-87.8956
98,BAGM4,"2MI.W BARAGA,MI",279 meters,snowdepth,2006-02-28 12,45.72,cm,,46.7786,-88.5442
99,BMKC2,BLUE MESA LAKE COOP,2328 meters,snowdepth,2006-02-28 15,45.72,cm,,38.4678,-107.1647
100,ASTW3,ATHELSTANE,293 meters,snowdepth,2006-02-28 13,43.18,cm,,45.425,-88.0575
101,LEIM5,ORR 3E,410 meters,snowdepth,2006-02-28 12,43.18,cm,,48.0581,-92.7522
102,FRZC2,"FRASER,CO",2609 meters,snowdepth,2006-02-28 23,43.18,cm,,39.9425,-105.8172
103,BETV1,"4MI.N BETHEL,VT",201 meters,snowdepth,2006-02-28 12,43.18,cm,,43.8833,-72.6333
104,MQAW3,MINOCQUA 7W,485 meters,snowdepth,2006-02-28 14,43.18,cm,,45.8742,-89.855
105,RHI,RHINELANDER-ONEIDA COUNTY AIRPORT,487 meters,snowdepth,2006-03-01 00,40.64,cm,,45.6308,-89.4653
106,EGRW3,EAGLE RIVER-SOUTH,502 meters,snowdepth,2006-02-28 13,40.64,cm,,45.9136,-89.2436
107,LNCM5,LANCASTER,279 meters,snowdepth,2006-02-28 12,40.64,cm,,48.8583,-96.8047
108,INDN6,INDIAN LAKE,505 meters,snowdepth,2006-02-28 13,40.64,cm,,43.755,-74.2756
109,BDMM4,SOUTH BOARDMAN 2W,320 meters,snowdepth,2006-02-28 13,40.64,cm,,44.6394,-85.3244
110,TWNW3,TOWNSEND 2NW,420 meters,snowdepth,2006-02-28 13,40.64,cm,,45.3578,-88.6064
111,PSQW3,PRESQUE ISLE 4 SW,508 meters,snowdepth,2006-02-28 14,40.64,cm,,46.1992,-89.7728
112,FEDM5,LEECH LAKE DAM,396 meters,snowdepth,2006-02-28 14,40.64,cm,,47.2467,-94.2228
113,AMMI1,MCCAMMON,1446 meters,snowdepth,2006-02-28 15,40.64,cm,,42.6556,-112.1925
114,Y55W3,RHINELANDER,478 meters,snowdepth,2006-02-28 13,40.64,cm,,45.6167,-89.35
115,HGHN6,HIGH MARKET,537 meters,snowdepth,2006-02-28 10,40.64,cm,,43.5667,-75.5167
116,INL,"INTERNATIONAL FALLS,MN",359 meters,snowdepth,2006-03-01 00,38.1,cm,,48.5664,-93.4031
117,CVLN8,"7MI.NW CAVALIER,ND",271 meters,snowdepth,2006-02-28 13,38.1,cm,,48.8631,-97.7014
118,CNNW3,CRANDON,498 meters,snowdepth,2006-02-28 13,38.1,cm,,45.5511,-88.8983
119,MNQW3,MINOCQUA 7W FRANKLIN LAKE,483 meters,snowdepth,2006-02-28 13,38.1,cm,,45.8686,-89.8578
120,LKWW3,"3MI.NE LAKEWOOD,WI",393 meters,snowdepth,2006-02-28 14,38.1,cm,,45.3333,-88.5
121,LFKM5,LITTLE FORK RIVER,365 meters,snowdepth,2006-02-28 14,38.1,cm,,48.4,-93.55
122,PIRI1,PIERCE,938 meters,snowdepth,2006-02-28 15,38.1,cm,,46.4922,-115.8006
123,BRAM1,BRASSUA LAKE,323 meters,snowdepth,2006-02-28 12,38.1,cm,,45.6667,-69.8167
124,BRGM4,BARAGA 5W,226 meters,snowdepth,2006-02-28 13,38.1,cm,,46.7953,-88.6014
125,YMPC2,YAMPA COOP,2398 meters,snowdepth,2006-02-28 19,38.1,cm,,40.1561,-106.9092
126,VANM1,"VAN BUREN,ME",138 meters,snowdepth,2006-02-28 13,38.1,cm,,47.1667,-67.9333
127,FLAM4,"1MI.NNW FIFE LAKE,MI",324 meters,snowdepth,2006-03-01 02,38.1,cm,,44.5844,-85.35
128,WRRM5,"WARROAD,MN",325 meters,snowdepth,2006-02-28 12,35.56,cm,,48.9094,-95.315
129,AVTW3,ARBOR VITAE-JOHNSON LAKE,487 meters,snowdepth,2006-02-28 13,35.56,cm,,45.8994,-89.7267
130,FCLN3,FIRST CONNECTICUT LAKE,505 meters,snowdepth,2006-02-28 12,35.56,cm,,45.0833,-71.2833
131,WROM5,"WARROAD,MN",327 meters,snowdepth,2006-03-01 05,35.56,cm,,48.9053,-95.315
132,WABM1,WASHBURN #2 17-9020-01,179 meters,snowdepth,2006-02-28 12,35.56,cm,,46.814,-68.163
133,TAKW3,RICE RESERVOIR NO. 2,445 meters,snowdepth,2006-02-28 13,35.56,cm,,45.5264,-89.7522
134,BOON6,BLACK R NR,284 meters,snowdepth,2006-02-28 12,33.02,cm,,43.5167,-75.3
135,RDLM5,CLEARWATER R @ RED LAKE FALLS,315 meters,snowdepth,2006-02-28 13,33.02,cm,,47.8833,-96.2833
136,ONOM4,"1MI.S ONTONAGON,MI",199 meters,snowdepth,2006-02-28 13,33.02,cm,,46.8578,-89.3133
137,LOWN6,"LOWVILLE,NY",378 meters,snowdepth,2006-02-28 12,33.02,cm,,43.75,-75.5
138,BRSW4,BOULDER REARING STN ON E FK R,2115 meters,snowdepth,2006-02-28 15,33.02,cm,,42.7167,-109.6833
139,PNAW4,PINEDALE 1N,2251 meters,snowdepth,2006-02-28 14,33.02,cm,,42.88,-109.8542
140,WIFC2,WILLIAMS FORK DAM,2331 meters,snowdepth,2006-02-28 15,33.02,cm,,40.0375,-106.203
141,SBNM5,SABIN,280 meters,snowdepth,2006-02-28 11,33.02,cm,,46.7769,-96.6561
142,ROYS2,OBS ROY LAKE RECREATION AREA,441 meters,snowdepth,2006-02-28 13,33.02,cm,,45.6958,-97.4583
143,MAPM4,"MAPLE CITY,MI",222 meters,snowdepth,2006-02-28 18,33.02,cm,,44.8522,-85.8572
144,KNGM4,KINGSLEY 2WSW,330 meters,snowdepth,2006-02-28 23,33.02,cm,,44.5697,-85.5717
145,REDI1,RED RIVER RS,1325 meters,snowdepth,2006-02-28 16,33.02,cm,,45.7075,-115.3447
146,ABGW3,AMBERG 9 E,221 meters,snowdepth,2006-02-28 13,33.02,cm,,45.4825,-87.8119
147,SUNO3,"SUNRIVER,OR",1274 meters,snowdepth,2006-02-28 16,30.48,cm,,43.8933,-121.4117
148,MSXC2,MESA 6S,2353 meters,snowdepth,2006-02-28 19,30.48,cm,,39.0886,-108.1178
149,NDLC2,AMRAD,2542 meters,snowdepth,2006-02-28 14,30.48,cm,,39.9644,-105.5189
150,SBEW3,EXP. FARM,201 meters,snowdepth,2006-02-28 13,30.48,cm,,44.8667,-87.3333
151,ALXN3,"ALEXANDRIA,NH",353 meters,snowdepth,2006-02-28 12,30.48,cm,,43.6403,-71.8022
152,MOUW3,MOUNTAIN 1 SW,287 meters,snowdepth,2006-02-28 13,30.48,cm,,45.1722,-88.4939
153,GHMN3,PINKHAM NOTCH,612 meters,snowdepth,2006-02-28 12,30.48,cm,,44.2667,-71.25
154,BAYM8,BAYLOR FARM,901 meters,snowdepth,2006-02-28 14,30.48,cm,,48.672,-106.481
155,FRKM4,"2MI.NE FRANKFORT,MI",265 meters,snowdepth,2006-02-28 23,30.48,cm,,44.6492,-86.2
156,CVZW3,WISCONSIN PUBLIC SERVICE,209 meters,snowdepth,2006-02-28 13,30.48,cm,,45.2353,-88.0136
157,RANM1,"1MI.ENE RANGELEY,ME",466 meters,snowdepth,2006-02-28 11,30.48,cm,,44.9667,-70.65
158,NCBN6,"3MI.E NEWCOMB,NY",505 meters,snowdepth,2006-02-28 14,30.48,cm,,43.9667,-74.1
159,CHLV1,CHELSEA 1.9 NORTHWEST,438 meters,snowdepth,2006-02-28 12,30.48,cm,,44.0108,-72.4833
160,HRRW3,"HARRISON,WI",484 meters,snowdepth,2006-02-28 13,30.48,cm,,45.4833,-89.5
161,ASDC1,BISHOP CREEK,2590 meters,snowdepth,2006-02-28 18,30.48,cm,,37.2306,-118.5972
162,GUXC2,AMRAD,2315 meters,snowdepth,2006-02-28 14,30.48,cm,,38.5167,-107.0
163,GFK,GRAND FORKS INTERNATIONAL AIRPORT,258 meters,snowdepth,2006-03-01 00,30.48,cm,,47.9492,-97.1761
164,DAGN2,DAGGET PASS,2235 meters,snowdepth,2006-02-28 15,30.48,cm,,38.9783,-119.8914
165,BOTN8,"BOTTINEAU,ND",499 meters,snowdepth,2006-02-28 14,30.48,cm,,48.8333,-100.45
166,SWXN8,"STARK WEATHER,ND",454 meters,snowdepth,2006-02-28 11,30.48,cm,,48.4525,-98.8864
167,HQSI1,HEADQUARTERS,964 meters,snowdepth,2006-02-28 16,30.48,cm,,46.6311,-115.8086
168,GEOM8,GEORGETOWN LAKE,1972 meters,snowdepth,2006-02-28 15,27.94,cm,,46.1836,-113.33
169,GDCM4,GARDEN CORNERS,178 meters,snowdepth,2006-02-28 23,27.94,cm,,45.8983,-86.5483
170,PTFM1,PITTSTON FARM,335 meters,snowdepth,2006-02-28 12,27.94,cm,,45.8944,-69.9647
171,MEDW3,MEDFORD,448 meters,snowdepth,2006-02-28 14,27.94,cm,,45.1308,-90.3439
172,EDNV1,BEAN MOUNTAIN,443 meters,snowdepth,2006-02-28 14,27.94,cm,,44.6756,-72.5614
173,APN,PHELPS COLLINS FIELD,210 meters,snowdepth,2006-03-01 00,27.94,cm,,45.0781,-83.5603
174,Y66W3,PHILLIPS,464 meters,snowdepth,2006-02-28 13,27.94,cm,,45.6333,-90.4
175,WIRW3,GRAND AVENUE B,304 meters,snowdepth,2006-02-28 13,27.94,cm,,44.4,-89.8167
176,FLGM1,FLAGSTAFF LAKE,353 meters,snowdepth,2006-02-28 12,27.94,cm,,45.2167,-70.2
177,LKCM4,EXP FARM,377 meters,snowdepth,2006-02-28 13,27.94,cm,,44.3167,-85.2
178,MORM5,"2MI.NE MORRHEAD,MN",271 meters,snowdepth,2006-03-01 00,27.94,cm,,46.85,-96.75
179,GRFN8,UNIVERSITY,252 meters,snowdepth,2006-03-01 00,27.94,cm,,47.9333,-97.0833
180,GLLM5,DAM,348 meters,snowdepth,2006-02-28 14,27.94,cm,,46.4119,-94.35
181,FAR,"FARGO,ND",274 meters,snowdepth,2006-03-01 00,27.94,cm,,46.9156,-96.8144
182,WHFM8,WHITEFISH,944 meters,snowdepth,2006-02-28 15,27.94,cm,,48.4078,-114.3594
183,SUFW3,SUPERIOR FALLS,223 meters,snowdepth,2006-02-28 14,25.4,cm,,46.56,-90.415
184,HBGN6,HEIBERG FOREST,579 meters,snowdepth,2006-02-28 13,25.4,cm,,42.7667,-76.0833
185,KLKM4,"KALASKA,MI",316 meters,snowdepth,2006-02-28 13,25.4,cm,,44.7275,-85.1731
186,STNV1,"3MI.NE SUTTON,VT",304 meters,snowdepth,2006-02-28 12,25.4,cm,,44.6647,-72.0219
187,PORM1,PORTAGE LAKE,249 meters,snowdepth,2006-02-28 12,25.4,cm,,46.8,-68.4833
188,PLYN3,"1MI.E PLYMOUTH,NH",201 meters,snowdepth,2006-02-28 12,25.4,cm,,43.7833,-71.65
189,CRLM5,DAM,381 meters,snowdepth,2006-02-28 14,25.4,cm,,46.6667,-94.1167
190,MLLW3,MERRILL 8W,432 meters,snowdepth,2006-02-28 13,25.4,cm,,45.1781,-89.8481
191,SEBM5,SEBEKA,417 meters,snowdepth,2006-02-28 12,25.4,cm,,46.6272,-95.0847
192,GREM1,SEBEC LAKE,115 meters,snowdepth,2006-02-28 14,25.4,cm,,45.25,-69.2333
193,DLLC2,"1MI.E DILLON,CO",2763 meters,snowdepth,2006-02-28 14,25.4,cm,,39.6261,-106.0353
194,CHRM4,"CHARLEVOIX,MI",182 meters,snowdepth,2006-02-28 13,25.4,cm,,45.3169,-85.2833
195,JACW3,JACKSON,272 meters,snowdepth,2006-02-28 13,25.4,cm,,43.319720000000004,-88.16833000000001
196,GWDC2,SHOSHONE,1807 meters,snowdepth,2006-02-28 19,25.4,cm,,39.5717,-107.2264
197,Y65W3,PARK FALLS,461 meters,snowdepth,2006-02-28 13,25.4,cm,,45.9333,-90.45
