! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,
CSSC1,CSS LAB,39.32570,-120.36810,2103 meters,snowdepth,2007-03-01 06,932.942,cm,
BSKC1,BURNSIDE LAKE,38.71940,-119.89420,2481 meters,snowdepth,2007-03-01 06,704.850,cm,
CXSC1,CARSON PASS,38.69310,-119.99340,2591 meters,snowdepth,2007-03-01 06,688.848,cm,
BRMI1,BEAR MOUNTAIN,48.30580,-116.07450,1646 meters,snowdepth,2007-03-01 06,676.148,cm,
HUR52_MADIS,HURRICANE RIDGE,47.97200,-123.50300,1570 meters,snowdepth,2007-03-01 06,619.760,cm,
SCWI1,SCHWEITZER SADDLE,48.37440,-116.63850,1862 meters,snowdepth,2007-02-28 20,589.280,cm,
BLBM8,BLACK BEAR,44.50830,-111.12800,2484 meters,snowdepth,2007-02-28 23,577.596,cm,
OCLR_MADIS,CRATER LAKE RIM,42.91167,-122.14860,2149 meters,snowdepth,2007-03-01 06,575.818,cm,
FMNU1,FARMINGTON,40.97480,-111.80930,2438 meters,snowdepth,2007-03-01 06,571.246,cm,
EMCM8,EMERY CREEK,48.43410,-113.93730,1326 meters,snowdepth,2007-03-01 04,564.134,cm,
BLWW4,BLACKWATER SNOTEL,44.37670,-109.79330,2981 meters,snowdepth,2007-02-28 20,544.830,cm,
THOC1,TAHOE CITY CROSS,39.17160,-120.15360,2057 meters,snowdepth,2007-03-01 06,536.194,cm,
DHDI1,DOLLARHIDE SUMMIT,43.60250,-114.67420,2566 meters,snowdepth,2007-03-01 06,525.272,cm,
DALM8,DALY CREEK,46.18370,-113.85330,1762 meters,snowdepth,2007-03-01 05,523.748,cm,
BCSN2,BIG CREEK SUM,39.29160,-117.11420,2652 meters,snowdepth,2007-03-01 06,507.492,cm,
MESC2,MESA LAKES,39.05830,-108.05830,3048 meters,snowdepth,2007-03-01 06,498.602,cm,
SVPI1,SAVAGE PASS,46.46630,-114.63330,1881 meters,snowdepth,2007-03-01 06,497.332,cm,
CMDM8,CLOVER MEADOW,45.01790,-111.84560,2682 meters,snowdepth,2007-03-01 05,495.554,cm,
BAK42_MADIS,MOUNT BAKER,48.86500,-121.67800,1286 meters,snowdepth,2007-03-01 06,492.760,cm,
HOOC2,HOOSIER PASS,39.36130,-106.05980,3475 meters,snowdepth,2007-02-28 08,484.124,cm,
LSMU1,LASAL MOUNTAIN,38.48240,-109.27170,3002 meters,snowdepth,2007-03-01 06,483.108,cm,
BTRI1,BOSTETTER R.S.,42.16390,-114.19250,2286 meters,snowdepth,2007-03-01 06,482.854,cm,
IDRC2,IDARADO,37.93390,-107.67550,2987 meters,snowdepth,2007-02-28 08,479.298,cm,
DRCN2,DRAW CREEK,41.66200,-115.32400,2195 meters,snowdepth,2007-03-01 06,478.536,cm,
WRMM8,WARM SPRINGS,46.27370,-113.16400,2377 meters,snowdepth,2007-03-01 05,475.996,cm,
PVC55,PARADISE-MT. RAINIER,46.78000,-121.74000,1676 meters,snowdepth,2007-03-01 06,474.980,cm,
BULU1,BUG LAKE,41.68470,-111.41920,2423 meters,snowdepth,2007-03-01 06,474.472,cm,
TOLN5,TOLBY,36.47490,-105.19470,3103 meters,snowdepth,2007-03-01 06,473.964,cm,
THUW4,THUMB DIVIDE SNOTEL,44.36890,-110.57830,2432 meters,snowdepth,2007-03-01 06,470.662,cm,
MNOW1,MF NOOKSACK,48.82460,-121.92950,1518 meters,snowdepth,2007-03-01 06,466.852,cm,
CLLO3,CLACKAMAS LAKE,45.09660,-121.75440,1036 meters,snowdepth,2007-03-01 06,465.836,cm,
TCHC2,TRINCHERA,37.35330,-105.23230,3310 meters,snowdepth,2007-03-01 06,459.232,cm,
PCKU1,PINE CREEK,38.96530,-112.24900,2682 meters,snowdepth,2007-03-01 06,457.454,cm,
ASFW1,RAINIER PARADISE RANGER STN,46.78610,-121.74220,1654 meters,snowdepth,2007-02-28 16,457.200,cm,
JWGC2,JACKWHACKER GULCH,39.56670,-105.80000,3341 meters,snowdepth,2007-03-01 06,456.692,cm,
LYNC2,LYNX PASS,40.07810,-106.67030,2707 meters,snowdepth,2007-03-01 06,455.168,cm,
CUMW1,COUGAR MOUNTAIN,47.27670,-121.67140,975 meters,snowdepth,2007-03-01 06,451.358,cm,
CSTO3,CASCADE SUMMIT,43.59050,-122.06010,1487 meters,snowdepth,2007-03-01 06,451.104,cm,
GYBC2,GRAYBACK,37.47030,-106.53780,3542 meters,snowdepth,2007-02-28 07,447.294,cm,
COPW1,CORRAL PASS,47.01850,-121.46500,1829 meters,snowdepth,2007-03-01 06,447.294,cm,
BISM8,BISSON CREEK,47.68390,-113.99910,1501 meters,snowdepth,2007-03-01 05,439.928,cm,
GRSW4,GRASSY LAKE,44.12610,-110.83440,2214 meters,snowdepth,2007-03-01 06,439.674,cm,
TIPO3,TIPTON,44.65590,-118.42610,1570 meters,snowdepth,2007-03-01 06,439.420,cm,
SCFO3,SALT CREEK FALLS,43.61190,-122.11760,1219 meters,snowdepth,2007-03-01 06,439.420,cm,
ELSW1,ELBOW LAKE,48.69090,-121.90890,975 meters,snowdepth,2007-03-01 06,439.420,cm,
BLAC1,BLUE LAKES,38.60780,-119.92440,2438 meters,snowdepth,2007-03-01 03,439.166,cm,
WODM8,WOOD CREEK,47.44850,-112.81430,1817 meters,snowdepth,2007-03-01 05,438.912,cm,
SKRW4,SNAKE RIVER STATION,44.13360,-110.66920,2109 meters,snowdepth,2007-03-01 06,438.912,cm,
TPEM8,TEPEE CREEK,44.78560,-111.71000,2438 meters,snowdepth,2007-03-01 05,438.150,cm,
BOXM8,BOX CANYON,45.27160,-110.24940,2042 meters,snowdepth,2007-03-01 05,436.372,cm,
AFSW1,PARADISE,46.78150,-121.74700,1561 meters,snowdepth,2007-03-01 06,431.546,cm,
LUKO3,LUCKY STRIKE,45.27480,-118.84790,1539 meters,snowdepth,2007-03-01 06,426.212,cm,
SAJO3,SANTIAM JCT.,44.43500,-121.94500,1143 meters,snowdepth,2007-03-01 06,423.672,cm,
LYLW1,LYMAN LAKE,48.19070,-120.91900,1798 meters,snowdepth,2007-03-01 06,419.354,cm,
TIM60_MADIS,TIMBERLINE LODGE - BASE,45.33200,-121.71300,1829 meters,snowdepth,2007-03-01 06,411.480,cm,
CSSL_MADIS,CENTRAL SIERRA SNOW LAB,39.32556,-120.36670,2098 meters,snowdepth,2007-03-01 06,408.432,cm,
WHPW1,WHITE PASS E.S.,46.64230,-121.38070,1372 meters,snowdepth,2007-03-01 06,407.670,cm,
CAYW1,CAYUSE PASS,46.87170,-121.53200,1585 meters,snowdepth,2007-02-28 08,406.400,cm,
TKSW1,TINKHAM CREEK,47.33220,-121.46950,936 meters,snowdepth,2007-03-01 06,405.892,cm,
CISCO_MADIS,CISCO BUTTE,39.30611,-120.56280,2018 meters,snowdepth,2007-03-01 06,405.384,cm,
BGMW1,BUNCHGRASS MDW,48.68690,-117.17630,1536 meters,snowdepth,2007-03-01 05,398.780,cm,
BMPW1,BUMPING RIDGE,46.81000,-121.33060,1402 meters,snowdepth,2007-03-01 06,390.144,cm,
STG48,STEVENS PASS-GRACE LAKES,47.74000,-121.11000,1463 meters,snowdepth,2007-03-01 06,388.620,cm,
DALO3,DALY LAKE,44.52200,-122.08730,1097 meters,snowdepth,2007-03-01 06,382.524,cm,
MIRW1,MINERS RIDGE,48.20180,-120.95620,1890 meters,snowdepth,2007-03-01 06,382.270,cm,
SWCW1,SWIFT CREEK,46.16370,-122.18410,1149 meters,snowdepth,2007-03-01 06,371.602,cm,
