! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Units|Zip_Code|
MSRN3|MASCOMA RIVER|43.78330|-72.03330|428 meters|snowdepth|2012-03-02 03|896.620|cm|03266|
MTBW1|MT. BAKER BASE NWAC|48.86300|-121.67780|1292 meters|snowdepth|2012-03-02 06|886.460|cm|00072|
AMBC1|ALPINE MEADOWS-BASE|39.16280|-120.23860|2131 meters|snowdepth|2012-03-02 03|731.520|cm|96145|
ECOC1|ECHO PEAK|38.84900|-120.07850|2332 meters|snowdepth|2012-03-02 06|723.900|cm|96150|
GRAMT_MADIS|GRANITE MOUNTAIN|45.08258|-116.20420|2373 meters|snowdepth|2012-03-02 06|599.948|cm|83654|
DRLC2|DRY LAKE|40.53400|-106.78130|2529 meters|snowdepth|2012-03-02 06|599.440|cm|80487|
BLTU1|BEN LOMOND TRAIL|41.38290|-111.92110|1838 meters|snowdepth|2012-03-02 06|553.720|cm|84310|
HARU1|HARDSCRABBLE|40.86900|-111.71940|2196 meters|snowdepth|2012-03-02 06|543.560|cm|84050|
BKLW4|BROOKLYN LAKE|41.35880|-106.23210|3115 meters|snowdepth|2012-03-01 19|543.560|cm|82055|
TIMU1|TIMPANOGOS DIVIDE|40.42820|-111.61630|2498 meters|snowdepth|2012-03-02 06|541.020|cm|00071|
ELBI1|ELK BUTTE|46.84000|-116.12230|1731 meters|snowdepth|2012-03-02 06|535.940|cm|83544|
USJC2|UPPER SAN JUAN|37.48580|-106.83530|3097 meters|snowdepth|2012-03-02 06|533.400|cm|81130|
JKPI1|JACKSON PEAK|44.05090|-115.44320|2158 meters|snowdepth|2012-03-02 06|528.320|cm|83622|
AKAQ1|AKAMINA PASS|49.02720|-114.05280|1808 meters|snowdepth|2012-03-02 06|524.993|cm||
IVHC2|IVANHOE|39.29200|-106.54920|3215 meters|snowdepth|2012-03-02 05|518.160|cm|81642|
SQFI1|SQUAW FLAT|44.77080|-116.24860|1910 meters|snowdepth|2012-03-02 06|515.620|cm|83654|
MYMQ2|MOYIE MOUNTAIN SNOW PILLOW|49.25000|-115.76670|1920 meters|snowdepth|2012-03-02 06|515.010|cm||
SKZC2|SHARKSTOOTH|37.50360|-108.11370|3285 meters|snowdepth|2012-03-02 06|513.080|cm|81328|
LMSU1|LOUIS MEADOW|40.83040|-111.76460|2064 meters|snowdepth|2012-03-02 06|513.080|cm|00100|
BCSN2|BIG CREEK SUM|39.29160|-117.11420|2637 meters|snowdepth|2012-03-02 06|508.000|cm|89310|
WCSC2|WOLF CREEK SNOTEL|37.47920|-106.80170|3363 meters|snowdepth|2012-03-02 06|500.380|cm|81130|
APSC2|APISHAPA|37.33060|-105.06750|3060 meters|snowdepth|2012-03-02 06|497.840|cm|81055|
TOWC2|TOWER|40.53740|-106.67680|3245 meters|snowdepth|2012-03-02 06|495.300|cm|80487|
DVDW4|DIVIDE PEAK|41.30400|-107.15240|2670 meters|snowdepth|2012-03-02 06|492.760|cm|82331|
SGMC2|SARGENTS MESA|38.28560|-106.37070|3505 meters|snowdepth|2012-03-02 06|490.220|cm|81149|
HAPC2|CHAPMAN TUNNEL|39.26220|-106.62930|3084 meters|snowdepth|2012-03-02 06|490.220|cm|81621|
MINC2|MINERAL CREEK|37.84750|-107.72660|3064 meters|snowdepth|2012-03-02 06|487.680|cm|81433|
EDSC2|EL DIENTE PEAK|37.78620|-108.02150|3107 meters|snowdepth|2012-03-02 06|487.680|cm|81320|
BAK42_MADIS|MOUNT BAKER|48.86500|-121.67800|1259 meters|snowdepth|2012-03-02 02|487.680|cm|00072|
ELBUT_MADIS|UDOT LCC ELBERTS|40.57579|-111.68770|2335 meters|snowdepth|2012-03-01 18|482.600|cm|84121|
HPAC2|HAYDEN PASS|38.29330|-105.85050|3255 meters|snowdepth|2012-03-02 06|480.060|cm|81155|
PPSA2|POWDER PATCH STATION|58.26170|-134.51780||snowdepth|2012-03-02 06|474.980|cm|99801|
ASFW1|RAINIER PARADISE RANGER STN|46.78610|-121.74220|1643 meters|snowdepth|2012-03-02 06|472.440|cm|98321|
ELRC2|ELLIOT RIDGE SNOTEL|39.86400|-106.42460|3227 meters|snowdepth|2012-03-02 06|469.900|cm|80498|
DPKW4|DEER PARK SNOTEL|42.59080|-108.90270|2957 meters|snowdepth|2012-03-02 05|469.900|cm|82520|
MNOW1|MF NOOKSACK|48.82460|-121.92950|1504 meters|snowdepth|2012-03-02 06|467.360|cm|00072|
PVCW1|PARADISE NWAC|46.78750|-121.73330|1658 meters|snowdepth|2012-03-02 06|464.820|cm|98321|
PVC55|PARADISE-MT. RAINIER|46.78000|-121.74000|1505 meters|snowdepth|2012-03-02 06|464.820|cm|98361|
MLDU1|MILL-D NORTH|40.65880|-111.63680|2741 meters|snowdepth|2012-03-02 06|464.820|cm|84121|
CAMU1|CASCADE MOUNTAIN|40.28300|-111.60990|2367 meters|snowdepth|2012-03-02 06|464.820|cm|84604|
RESC2|RABBIT EARS|40.36780|-106.74040|2882 meters|snowdepth|2012-03-02 06|462.280|cm|80487|
DBPU1|DRY BREAD POND|41.41310|-111.53780|2532 meters|snowdepth|2012-03-02 06|454.660|cm|84321|
PRKW4|PARKER PEAK SNOTEL|44.73400|-109.91480|2880 meters|snowdepth|2012-03-02 05|441.960|cm|82190|
ALPHA_MADIS|ALPHA|38.80389|-120.21580|2325 meters|snowdepth|2012-03-01 11|438.150|cm|95720|
TJMN2|TOE JAM|41.32180|-116.33800|2364 meters|snowdepth|2012-03-02 06|431.800|cm|89831|
LOPU1|LOOKOUT PEAK|40.83730|-111.70920|2490 meters|snowdepth|2012-03-02 06|429.260|cm|00100|
TMLO3|TIMBERLINE BASE|45.33150|-121.71210|1819 meters|snowdepth|2012-03-02 06|426.720|cm|97028|
TIM60_MADIS|TIMBERLINE LODGE - BASE|45.33200|-121.71300|1829 meters|snowdepth|2012-03-02 06|426.720|cm|97028|
STG48|STEVENS PASS-GRACE LAKES|47.74000|-121.11000|1391 meters|snowdepth|2012-03-02 06|424.180|cm|98288|
WPS59|WHITE PASS-TOP|46.62000|-121.39000|1748 meters|snowdepth|2012-03-02 06|419.100|cm|98937|
TGSU1|TONY GROVE RS|41.88460|-111.56880|1930 meters|snowdepth|2012-03-02 06|414.020|cm|84321|
PGPW1|PIGTAIL PEAK|46.62150|-121.38630|1772 meters|snowdepth|2012-03-02 06|411.480|cm|98937|
AFSW1|PARADISE|46.78150|-121.74700|1570 meters|snowdepth|2012-03-02 05|411.480|cm|98361|
LGVI1|LONG VALLEY|44.78840|-116.08880|1493 meters|snowdepth|2012-03-01 20|408.940|cm|83638|
KUSW1|SKOOKUM CREEK|47.68450|-121.60950|1020 meters|snowdepth|2012-03-02 06|406.400|cm|98024|
CAYW1|CAYUSE PASS|46.87170|-121.53200|1635 meters|snowdepth|2012-03-02 06|406.400|cm|98022|
CISCO_MADIS|CISCO BUTTE|39.30611|-120.56280|1956 meters|snowdepth|2012-03-02 06|404.114|cm|95724|
BRTW1|BROWN TOP|48.92750|-121.19710|1781 meters|snowdepth|2012-03-02 06|403.860|cm|00072|
BRMI1|BEAR MOUNTAIN|48.30580|-116.07450|1663 meters|snowdepth|2012-03-02 06|401.320|cm|83836|
CWRQ2|CHILLIWACK RIVER SNOW PILLOW|49.03330|-121.71670|1567 meters|snowdepth|2012-03-02 06|399.009|cm||
MRTW1|MARTEN RIDGE|48.76300|-121.69820|1082 meters|snowdepth|2012-03-02 05|393.700|cm|00072|
LYLW1|LYMAN LAKE|48.19070|-120.91900|1986 meters|snowdepth|2012-03-02 06|393.700|cm|98852|
GECU1|13H05 - GEORGE CREEK|41.90000|-113.48330|2552 meters|snowdepth|2012-03-02 06|393.700|cm|84329|
STZI1|SCHWEITZER BASIN|48.37430|-116.63920|1857 meters|snowdepth|2012-03-02 06|383.540|cm|83856|
STS52|STEVENS PASS-SKYLINE EXPRESS CHA|47.74000|-121.11000|1391 meters|snowdepth|2012-03-02 06|383.540|cm|98288|
SPMI1|SHEEP MTN.|43.20930|-111.68780|2049 meters|snowdepth|2012-03-02 06|381.000|cm|83236|
AYMA2|ALYESKA WEATHER MID|60.96220|-149.08970||snowdepth|2012-03-02 06|374.650|cm|00198|
MCYC2|MCCOY PARK|39.60470|-106.54130|2894 meters|snowdepth|2012-03-02 06|368.300|cm|81657|
