! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,Zip_Code,
AMBC1,ALPINE MEADOWS-BASE,39.16280,-120.23860,2131 meters,snowdepth,2013-03-01 06,731.520,cm,96145,
LELC2,LAKE ELDORA,39.93680,-105.58960,2965 meters,snowdepth,2013-03-01 06,579.120,cm,80466,
HEMI1,HEMLOCK BUTTE,46.48110,-115.63360,1772 meters,snowdepth,2013-03-01 06,579.120,cm,83544,
BUFC2,BUFFALO PARK,40.22860,-106.59530,2821 meters,snowdepth,2013-03-01 06,543.560,cm,80459,
COLC2,COLUMBINE,40.39480,-106.60410,2790 meters,snowdepth,2013-03-01 06,535.940,cm,80430,
SQFI1,SQUAW FLAT,44.77080,-116.24860,1910 meters,snowdepth,2013-03-01 06,515.620,cm,83654,
MSCAS_MADIS,CASTLE LAKE,41.23806,-122.36920,1767 meters,snowdepth,2013-03-01 04,508.254,cm,96025,
STG48,STEVENS PASS-GRACE LAKES,47.74000,-121.11000,1391 meters,snowdepth,2013-03-01 06,508.000,cm,98288,
LBAC2,LOVELAND BASIN,39.67430,-105.90130,3497 meters,snowdepth,2013-03-01 06,508.000,cm,80452,
BKLW4,BROOKLYN LAKE,41.35880,-106.23210,3115 meters,snowdepth,2013-03-01 06,508.000,cm,82055,
CPLC1,CAPLES LAKE (GOES),38.71000,-120.04190,2441 meters,snowdepth,2013-03-01 06,503.682,cm,96120,
TOWC2,TOWER,40.53740,-106.67680,3245 meters,snowdepth,2013-03-01 06,495.300,cm,80487,
TLSC2,TRAPPER LAKE,39.99880,-107.23620,2976 meters,snowdepth,2013-03-01 06,495.300,cm,81637,
LYNC2,LYNX PASS,40.07810,-106.67030,2718 meters,snowdepth,2013-03-01 06,492.760,cm,80479,
BAK42_MADIS,MOUNT BAKER,48.86500,-121.67800,1259 meters,snowdepth,2013-03-01 04,487.680,cm,00072,
ROAC2,ROACH,40.87500,-106.04600,2964 meters,snowdepth,2013-03-01 06,485.140,cm,80545,
SCYC2,SOUTH COLONY,37.96810,-105.53790,3348 meters,snowdepth,2013-03-01 06,482.600,cm,81252,
MFKC2,MIDDLE FORK CAMP,39.79560,-106.02730,2738 meters,snowdepth,2013-03-01 06,482.600,cm,80468,
RAWC2,RAWAH,40.70750,-106.00760,2763 meters,snowdepth,2013-03-01 06,480.060,cm,80480,
EPSW1,21A07 - EASY PASS AM,48.85930,-121.43890,1600 meters,snowdepth,2013-03-01 06,480.060,cm,00072,
ZIRC2,ZIRKEL,40.79490,-106.59540,2855 meters,snowdepth,2013-03-01 06,474.980,cm,80480,
UPTC2,UPPER TAYLOR,38.99070,-106.75420,3355 meters,snowdepth,2013-03-01 06,474.980,cm,81210,
VALC2,VALLECITO,37.48510,-107.50680,3272 meters,snowdepth,2013-03-01 06,472.440,cm,81122,
SHSC2,SCOTCH CREEK,37.64560,-108.00790,2817 meters,snowdepth,2013-03-01 06,469.900,cm,81320,
AYTA2,ALYESKA WEATHER TOP,60.96280,-149.06890,825 meters,snowdepth,2013-02-28 15,469.900,cm,00198,
ELKC2,ELK RIVER,40.84780,-106.96870,2666 meters,snowdepth,2013-03-01 06,467.360,cm,80428,
LOTC2,LOST DOG,40.81590,-106.74840,2845 meters,snowdepth,2013-03-01 06,464.820,cm,80428,
BLPS2,BLIND PARK (SNOTEL),44.10760,-103.97680,2106 meters,snowdepth,2013-03-01 05,462.280,cm,57745,
ASFW1,RAINIER PARADISE RANGER STN,46.78610,-121.74220,1643 meters,snowdepth,2013-02-28 19,452.120,cm,98321,
LLSC1,LAKE LOIS,38.92500,-120.19690,2522 meters,snowdepth,2013-03-01 06,447.040,cm,00051,
SKRW4,SOUTH ENTRANCE YNP SNAKE RIVER STATION - SNOTEL,44.13360,-110.66920,2103 meters,snowdepth,2013-03-01 06,439.420,cm,82190,
PVCW1,PARADISE NWAC,46.78750,-121.73330,1658 meters,snowdepth,2013-03-01 06,434.340,cm,98321,
PVC55,PARADISE-MT. RAINIER,46.78000,-121.74000,1505 meters,snowdepth,2013-03-01 06,434.340,cm,98361,
GRAMT_MADIS,GRANITE MOUNTAIN,45.08258,-116.20420,2373 meters,snowdepth,2013-03-01 05,432.816,cm,83654,
SWCW1,SWIFT CREEK,46.16370,-122.18410,1369 meters,snowdepth,2013-03-01 06,401.320,cm,98648,
AFSW1,PARADISE,46.78150,-121.74700,1570 meters,snowdepth,2013-03-01 06,398.780,cm,98361,
SCSI1,SECESH SUMMIT,45.18850,-115.97310,1977 meters,snowdepth,2013-03-01 06,396.240,cm,83638,
LKTI1,LOOKOUT,47.45790,-115.70580,1571 meters,snowdepth,2013-03-01 06,393.700,cm,83846,
MRTW1,MARTEN RIDGE,48.76300,-121.69820,1082 meters,snowdepth,2013-03-01 06,391.160,cm,00072,
CAYW1,CAYUSE PASS,46.87170,-121.53200,1635 meters,snowdepth,2013-03-01 06,388.620,cm,98022,
CA42R_MADIS,"STEAMBOAT LAKE STATE PARK, RD 4",40.78500,-107.05920,2908 meters,snowdepth,2013-03-01 05,382.524,cm,80428,
TMLO3,TIMBERLINE BASE,45.33150,-121.71210,1819 meters,snowdepth,2013-03-01 06,381.000,cm,97028,
TIM60_MADIS,TIMBERLINE LODGE - BASE,45.33200,-121.71300,1829 meters,snowdepth,2013-03-01 06,381.000,cm,97028,
SZKQ2,SPUZZUM CREEK SNOW PILLOW,49.66060,-121.65890,1198 meters,snowdepth,2013-03-01 06,381.000,cm,,
