,Station_Id,Name,Elevation,Amount,Amount_Units,Duration,Duration_Units,Physical_Element,DateTime_Report,Unnamed: 9,Latitude,Longitude
0,MHKM4,MOHAWK,315 meters,109.22,mm,12.0,Hours,station raw snowfall,2005-03-01 01,,47.3058,-88.3639
1,CLKM4,"6MI.E CHAMPION,MI",499 meters,101.6,mm,12.0,Hours,station raw snowfall,2005-03-01 02,,46.5014,-87.8458
2,MQT,"MARQUETTE, MI",437 meters,86.36,mm,12.0,Hours,station raw snowfall,2005-03-01 00,,46.5311,-87.5483
3,LOKW3,LAND O LAKES 10W,526 meters,147.32,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,46.1917,-89.4308
4,BKBW2,DAVIS.,1136 meters,15.24,mm,3.0,Hours,station raw snowfall,2005-02-28 15,,39.0983,-79.4319
5,ONOM4,"1MI.S ONTONAGON,MI",199 meters,55.88,mm,12.0,Hours,station raw snowfall,2005-03-01 01,,46.8578,-89.3133
6,SBEW3,EXP. FARM,208 meters,101.6,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.8667,-87.3333
7,WMAW3,"4MI.N WAUTOMA,WI",321 meters,101.6,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.1167,-89.2833
8,FORW3,FORESTVILLE-4E,210 meters,88.9,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.6978,-87.3969
9,WROW3,WILD ROSE-6 NE-TWIN LAKES,287 meters,88.9,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.2319,-89.1436
10,THRW3,"1MI.SSE HILES,WI",506 meters,88.9,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.665,-88.9614
11,PRQW3,PRESQUE ISLE,510 meters,88.9,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,46.2478,-89.7292
12,Y82W3,BAILEYS HARBOR,214 meters,86.36,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.06667,-87.13333
13,BPKI2,BEACH PARK,219 meters,43.18,mm,12.0,Hours,station raw snowfall,2005-02-28 12,,42.4289,-87.8833
14,GOMW3,ALGOMA,191 meters,81.28,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.6147,-87.4369
15,LOT,"CHICAGO, IL",200 meters,20.32,mm,6.0,Hours,station raw snowfall,2005-03-01 06,,41.6083,-88.0939
16,ELOW3,ELCHO,500 meters,81.28,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.4464,-89.1711
17,PESW3,"PESHTIGO,WI",191 meters,76.2,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.0667,-87.7333
18,GRYI2,GRAYSLAKE,254 meters,38.1,mm,12.0,Hours,station raw snowfall,2005-02-28 12,,42.3344,-88.0092
19,OCFW3,OCONTO ELETRIC COOPERATIVE,219 meters,76.2,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.8975,-88.1278
20,LKWW3,"3MI.NE LAKEWOOD,WI",376 meters,76.2,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.3333,-88.5
21,LGKW3,LONG LAKE 3-NE,455 meters,76.2,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.8825,-88.6314
22,Y55W3,RHINELANDER,488 meters,76.2,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.6167,-89.35
23,RHI,RHINELANDER-ONEIDA COUNTY AIRPORT,487 meters,76.2,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.6308,-89.4653
24,HRRW3,"HARRISON,WI",484 meters,76.2,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.4833,-89.5
25,ASFW1,RAINIER PARADISE RANGER STN,1643 meters,76.2,mm,24.0,Hours,station raw snowfall,2005-02-28 16,,46.7861,-121.7422
26,LILW3,LILY-2 NE,447 meters,71.12,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.3272,-88.8331
27,WASW3,"WASHINGTON ISLAND,WI",203 meters,68.58,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.3667,-86.9333
28,FLNW3,"FLORENCE,WI",399 meters,68.58,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.925,-88.2569
29,TAKW3,RICE RESERVOIR NO. 2,453 meters,68.58,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.5264,-89.7522
30,OWEW3,OWEN 3W,389 meters,66.04,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,44.9801,-90.5544
31,KIMW3,KIMBERLY,227 meters,63.5,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.2672,-88.3361
32,APLW3,RADIO STATION NEARBY,235 meters,63.5,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.2511,-88.3644
33,SHAW3,"SHAWANO,WI",255 meters,63.5,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.5,-88.75
34,BLNW3,BERLIN WWTP,235 meters,63.5,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.99,-88.9417
35,AURW3,AURORA,359 meters,63.5,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.77,-88.1181
36,CRIW3,HIGH FALLS,284 meters,60.96,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.2833,-88.1919
37,FNKW3,FRANKSVILLE,228 meters,58.42,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.8011,-87.8931
38,WTNM4,"3MI.W WATTON,MI",436 meters,27.94,mm,12.0,Hours,station raw snowfall,2005-02-28 23,,46.5103,-88.6667
39,WPAW3,WAUPACA-3 SW - KING,287 meters,53.34,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.3311,-89.1469
40,KEWW3,"KEWAUNEE,WI",211 meters,50.8,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.4333,-87.5167
41,UGRW3,"UNION GROVE,WI",229 meters,50.8,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.7,-88.0322
42,ASTW3,ATHELSTANE,292 meters,50.8,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.425,-88.0575
43,APPW3,APPLETON NORTHWEST,242 meters,50.8,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.2786,-88.4386
44,KSAW3,KESHENA,269 meters,50.8,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.8906,-88.6625
45,MEDW3,MEDFORD,425 meters,50.8,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,45.1308,-90.3439
46,MKE,"MILWAUKEE,WI",204 meters,43.18,mm,24.0,Hours,station raw snowfall,2005-03-01 00,,42.9467,-87.8969
47,ARX,"LA CROSSE, WI",388 meters,40.64,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.8228,-91.1919
48,ABGW3,AMBERG 9 E,224 meters,40.64,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,45.4825,-87.8119
49,BAGM4,"2MI.W BARAGA,MI",270 meters,20.32,mm,12.0,Hours,station raw snowfall,2005-02-28 13,,46.7786,-88.5442
50,SYGW3,SHEBOYGAN-SOUTH,193 meters,38.1,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.7194,-87.7247
51,GCYW3,GENOA CITY,253 meters,38.1,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,42.4986,-88.33
52,STPW3,"STEVENS POINT,WI",335 meters,38.1,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.5167,-89.5167
53,PLOW3,PLOVER,329 meters,38.1,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.4428,-89.5453
54,NELW3,NEILLSVILLE 3SW,309 meters,38.1,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,44.5289,-90.6381
55,MOCW3,MANITOWOC,194 meters,35.56,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.0794,-87.6781
56,SYNW3,SHEBOYGAN 1SW,202 meters,35.56,mm,24.0,Hours,station raw snowfall,2005-02-28 13,,43.7356,-87.735
57,MLCW3,GREEN BAY 9 NW MILL CENTER,231 meters,35.56,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.5889,-88.1686
58,BATI2,BATAVIA,218 meters,17.78,mm,12.0,Hours,station raw snowfall,2005-03-01 00,,41.8483,-88.3119
59,MFDW3,"MARSHFIELD,WI",368 meters,35.56,mm,24.0,Hours,station raw snowfall,2005-02-28 12,,44.6333,-90.1
60,FLKM4,FORTUNE LAKE,432 meters,17.78,mm,12.0,Hours,station raw snowfall,2005-03-01 01,,46.095,-88.4258
