,Station_Id,Name,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,Unnamed: 9,Latitude,Longitude
0,CRLO3,CRATER LAKE NATIONAL PARK HQ,1973 meters,snowfall,2006-02-28 16,457.2,mm,24.0,hours,,42.8967,-122.1328
1,ASFW1,RAINIER PARADISE RANGER STN,1654 meters,snowfall,2006-02-28 19,292.1,mm,24.0,hours,,46.7861,-121.7422
2,MCHM2,MCHENRY,829 meters,snowfall,2006-02-28 12,241.3,mm,24.0,hours,,39.5833,-79.37
3,BKBW2,DAVIS.,1162 meters,snowfall,2006-02-28 12,200.66,mm,24.0,hours,,39.0983,-79.4319
4,MTDP1,YMCA CAMP AT DEER VALLEY,832 meters,snowfall,2006-02-28 12,185.42,mm,24.0,hours,,39.8,-79.1833
5,MALC1,MAMMOTH LAKES R.S.,2378 meters,snowfall,2006-02-28 15,177.8,mm,24.0,hours,,37.6478,-118.9617
6,LAUP1,1.5MI S OF RT 30 ON SMIT (LAUREL RIDGE),832 meters,snowfall,2006-02-28 11,165.1,mm,24.0,hours,,40.05,-79.2206
7,MTSW2,"MOUNT STORM,WV",778 meters,snowfall,2006-02-28 12,165.1,mm,24.0,hours,,39.2694,-79.2625
8,ASDC1,BISHOP CREEK,2590 meters,snowfall,2006-02-28 18,165.1,mm,24.0,hours,,37.2306,-118.5972
9,BAYW2,"BAYARD,WV",725 meters,snowfall,2006-02-28 12,152.4,mm,24.0,hours,,39.2667,-79.3667
10,FRSM2,"FROSTBURG,MD",661 meters,snowfall,2006-02-28 12,139.7,mm,24.0,hours,,39.6667,-78.9333
11,INDP1,INDIANA,335 meters,snowfall,2006-02-28 12,127.0,mm,24.0,hours,,40.5967,-79.1178
12,EBNP1,"EBENSBURG,PA",591 meters,snowfall,2006-02-28 12,127.0,mm,24.0,hours,,40.4681,-78.7289
13,DUNP1,"DUNLO,PA",719 meters,snowfall,2006-02-28 12,127.0,mm,24.0,hours,,40.2872,-78.7242
14,STGP1,STRONGSTOWN,573 meters,snowfall,2006-02-28 12,127.0,mm,24.0,hours,,40.5506,-78.9242
15,RDWP1,"RIDGWAY,PA",414 meters,snowfall,2006-02-28 12,127.0,mm,24.0,hours,,41.4167,-78.75
16,DAGN2,DAGGET PASS,2235 meters,snowfall,2006-02-28 15,127.0,mm,24.0,hours,,38.9783,-119.8914
17,JNTP1,"JOHNSTOWN,PA", 584 meters,snowfall,2006-02-28 12,114.3,mm,24.0,hours,,40.2167,-78.8667
18,SMRP1,"SOMERSET,PA",640 meters,snowfall,2006-02-28 13,111.76,mm,24.0,hours,,40.0,-79.0833
19,LEVC1,"LEE VINING,CA",2071 meters,snowfall,2006-02-28 17,101.6,mm,24.0,hours,,37.9567,-119.1194
20,DERP1,DERRY,323 meters,snowfall,2006-02-28 11,101.6,mm,24.0,hours,,40.2933,-79.3397
21,KETI1,RANGER STATION,1795 meters,snowfall,2006-02-28 17,101.6,mm,24.0,hours,,43.6842,-114.3603
22,SBOP1,"3MI.WNW SPRINGBORO,PA",306 meters,snowfall,2006-02-28 12,96.52,mm,24.0,hours,,41.8333,-80.45
23,NEFP1,NEW FLORENCE,411 meters,snowfall,2006-02-28 12,88.9,mm,24.0,hours,,40.3333,-79.0833
24,HOHP1,HOLSOPPLE,457 meters,snowfall,2006-02-28 12,88.9,mm,24.0,hours,,40.2,-78.92
25,CONP1,"1MI.SW CONFLUENCE,PA", 443 meters,snowfall,2006-02-28 12,88.9,mm,24.0,hours,,39.8,-79.3667
26,DWDI1,DEADWOOD LODGE,1812 meters,snowfall,2006-02-28 15,86.36,mm,24.0,hours,,44.4622,-115.5817
27,WOOO1,EXPERIMENT STN,310 meters,snowfall,2006-02-28 12,76.2,mm,24.0,hours,,40.7833,-81.9167
28,DGLP1,DONEGAL 2 NW,549 meters,snowfall,2006-02-28 12,76.2,mm,24.0,hours,,40.13,-79.4
