! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,
GREN3,"GREENVILLE,NH",42.78330,-71.80000,274 meters,snowfall,2007-02-28 10,2286.000,mm,24.0,hours,
DAGN2,DAGGET PASS,38.97830,-119.89140,2235 meters,snowfall,2007-02-28 15,508.000,mm,24.0,hours,
BHDU1,BRIAN HEAD SKI PATROL OFFICE,37.69330,-112.84690,2978 meters,snowfall,2007-03-01 00,482.600,mm,24.0,hours,
ASFW1,RAINIER PARADISE RANGER STN,46.78610,-121.74220,1654 meters,snowfall,2007-02-28 16,457.200,mm,24.0,hours,
SWXN8,"STARK WEATHER,ND",48.45250,-98.88640,454 meters,snowfall,2007-02-28 22,50.800,mm,3.0,hours,
C5634_MADIS,CW5634 CAMP NELSON,36.10383,-118.52380,2195 meters,snowfall,2007-02-28 15,406.400,mm,24.0,hours,
EMRU1,"ENTERPRISE,UT",37.57280,-113.70890,1622 meters,snowfall,2007-02-28 14,355.600,mm,24.0,hours,
LDGC1,LODGEPOLE,36.60440,-118.73250,2053 meters,snowfall,2007-02-28 16,330.200,mm,24.0,hours,
NRMA3,BRIGHT ANGEL R.S.,36.21500,-112.06190,2560 meters,snowfall,2007-03-01 00,304.800,mm,24.0,hours,
FTBS2,"3MI.NE FORESTBURG,SD",44.03330,-98.07000,375 meters,snowfall,2007-03-01 00,304.800,mm,24.0,hours,
2858C_MADIS,"SILVERTON 0.2 NNW, CO",37.81350,-107.66510,2982 meters,snowfall,2007-02-28 14,304.800,mm,24.0,hours,
MCLS2,"MITCHELL,SD",43.70220,-98.03610,396 meters,snowfall,2007-03-01 05,284.480,mm,24.0,hours,
GTHC2,GOTHIC,38.96670,-106.98330,2886 meters,snowfall,2007-02-28 15,279.400,mm,24.0,hours,
0686C_MADIS,"CRESTED BUTTE 6.2 N, CO",38.96030,-106.99080,2991 meters,snowfall,2007-02-28 14,279.400,mm,24.0,hours,
CHJW1,"3MI.ESE CHIEF JOSEPH DAM,WA",47.99690,-119.64830,250 meters,snowfall,2007-02-28 07,266.700,mm,24.0,hours,
HON,HURON REGIONAL AIRPORT,44.38530,-98.22860,390 meters,snowfall,2007-03-01 05,256.540,mm,24.0,hours,
MINC1,MINERAL,40.34580,-121.60920,1486 meters,snowfall,2007-02-28 16,254.000,mm,24.0,hours,
CBUC2,CRESTED BUTTE COOP,38.87860,-106.97610,2701 meters,snowfall,2007-02-28 15,228.600,mm,24.0,hours,
ASPC2,ASPEN COOP,39.18810,-106.83610,2488 meters,snowfall,2007-02-28 15,228.600,mm,24.0,hours,
LFDN8,"LANSFORD,ND",48.63330,-101.38330,491 meters,snowfall,2007-02-28 22,109.220,mm,12.0,hours,
GRGC1,GRANT GROVE,36.73940,-118.96310,2012 meters,snowfall,2007-02-28 16,215.900,mm,24.0,hours,
CRLO3,CRATER LAKE NATIONAL PARK HQ,42.89670,-122.13280,1974 meters,snowfall,2007-02-28 16,215.900,mm,24.0,hours,
