! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Amount_Units|Duration|Duration_Units|Zip_Code|
43.2000_070.7700|SOUTH BERWICK (YO62)|43.20000|-70.77000|77 meters|snowfall|2012-03-01 17|25.400|cm|3|hours|03908|
43.2000_070.7700|SOUTH BERWICK (YO62)|43.20000|-70.77000|77 meters|snowfall|2012-03-01 17|25.400|cm|4|hours|03908|
43.5110_071.3970|3 SSE GILFORD (BE55)|43.51100|-71.39700|340 meters|snowfall|2012-03-01 17|17.780|cm|3|hours|03249|
43.6500_070.3000|PORTLAND (KPWM)|43.65000|-70.30000|13 meters|snowfall|2012-03-02 00|33.020|cm|6|hours|04102|
RKHN6|ROCK HILL 3 SW|41.59170|-74.61410|397 meters|snowfall|2012-03-01 13|7.874|cm|1|hours|12790|
7858S_MADIS|SALEM 1.0 S, OR|44.91314|-123.04190|94 meters|snowfall|2012-03-01 16|127.000|cm|24|hours|97302|
43.2916_072.8385|LANDGROVE (WRGB0007)|43.29158|-72.83854|581 meters|snowfall|2012-03-01 22|36.830|cm|7|hours|05148|
43.8100_071.3400|1 E EAST SANDWICH (CA83)|43.81000|-71.34000|231 meters|snowfall|2012-03-01 21|31.242|cm|6|hours|03227|
43.2000_070.7700|SOUTH BERWICK (YO62)|43.20000|-70.77000|77 meters|snowfall|2012-03-01 17|25.400|cm|5|hours|03908|
44.6356_070.7517|ANDOVER (596ANDO)|44.63556|-70.75167|215 meters|snowfall|2012-03-01 17|15.240|cm|3|hours|04216|
43.6614_070.2558|PORTLAND (31PORT)|43.66139|-70.25583|26 meters|snowfall|2012-03-01 18|24.638|cm|5|hours|04101|
42.8886_073.0125|WOODFORD (WRGB0011)|42.88864|-73.01248|672 meters|snowfall|2012-03-02 00|34.290|cm|7|hours|05201|
42.9696_074.3719|FONDA (WRGB0016)|42.96961|-74.37194|189 meters|snowfall|2012-03-01 23|34.036|cm|7|hours|12068|
43.6500_070.3000|PORTLAND (KPWM)|43.65000|-70.30000|13 meters|snowfall|2012-03-02 00|33.020|cm|7|hours|04102|
43.0333_072.8500|WEST WARDSBORO (WWBV1)|43.03333|-72.85000|448 meters|snowfall|2012-03-01 12|33.020|cm|7|hours|05355|
42.8744_071.1817|HAMPSTEAD (359HAMP)|42.87444|-71.18167|101 meters|snowfall|2012-03-01 19|33.020|cm|7|hours|03841|
43.9014_070.4708|RAYMOND (124RAYM)|43.90139|-70.47083|86 meters|snowfall|2012-03-01 16|13.970|cm|3|hours|04071|
