! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Amount_Units,Duration,Duration_Units,Zip_Code,
31G,DETROIT CGS,42.33330,-82.96670,175 meters,snowfall,2017-02-28 11:00,0.000,cm,24.000,hours,,
3HT,HARDIN,46.43280,-109.83100,1268 meters,snowfall,2017-02-28 14:00,0.762,cm,24.000,hours,59085,
3SE,SPENCER 1N,43.16530,-95.14670,403 meters,snowfall,2017-03-01 06:00,0.000,cm,24.000,hours,51301,
4BL,"BLANDING,UT",37.61310,-109.47940,1836 meters,snowfall,2017-03-01 01:00,1.270,cm,24.000,hours,84511,
9V9,CHAMBERLAIN MUNICIPAL AIRPORT,43.76610,-99.32110,509 meters,snowfall,2017-02-28 12:00,0.000,cm,24.000,hours,57325,
AABT2,ABILENE,32.34180,-99.65260,553 meters,snowfall,2017-02-28 13:00,0.000,cm,24.000,hours,79602,
AASM4,ANN ARBOR SE,42.24160,-83.69330,254 meters,snowfall,2017-02-28 12:30,0.000,cm,24.000,hours,48108,
ABDI1,ABERDEEN EXPERIMENT STN,42.95360,-112.82530,1341 meters,snowfall,2017-02-28 15:00,0.003,cm,24.000,hours,83210,
ABEK2,"ABERDEEN,KY",37.23330,-86.68330,155 meters,snowfall,2017-02-28 13:00,0.000,cm,24.000,hours,42261,
ABEQ1,ABEE - AGDM,54.27720,-112.96550,666 meters,snowfall,2017-03-01 06:00,0.000,cm,24.000,hours,,
ABEQ1,ABEE - AGDM,54.27720,-112.96550,666 meters,snowfall,2017-03-01 05:00,0.000,cm,24.000,hours,,
ABEQ1,ABEE - AGDM,54.27720,-112.96550,666 meters,snowfall,2017-03-01 04:00,0.000,cm,24.000,hours,,
ABEQ1,ABEE - AGDM,54.27720,-112.96550,666 meters,snowfall,2017-03-01 03:00,0.000,cm,24.000,hours,,
