! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,
SLMC1,ELSTANISLAUS MEADOW (GOES),38.50000,-119.93690,2362 meters,swe,2007-03-01 06,376.123,cm,
SZKQ2,SPUZZUM CREEK,49.66667,-121.65000,287 meters,swe,2007-03-01 06,193.954,cm,
MRTW1,MARTEN RIDGE,48.76300,-121.69820,1085 meters,swe,2007-03-01 06,186.690,cm,
GBRQ2,GREAT BEAR,51.25139,-117.49167,-9999 meters,swe,2007-03-01 06,180.975,cm,
CWRQ2,CHILLIWACK RIVER,49.03333,-121.71667,751 meters,swe,2007-03-01 06,173.330,cm,
SWCW1,SWIFT CREEK,46.16370,-122.18410,1149 meters,swe,2007-03-01 06,163.576,cm,
AFSW1,PARADISE,46.78150,-121.74700,1561 meters,swe,2007-03-01 06,162.560,cm,
SLIC1,SLIDE CANYON,38.10000,-119.43330,2896 meters,swe,2007-03-01 06,148.768,cm,
LYLW1,LYMAN LAKE,48.19070,-120.91900,1798 meters,swe,2007-03-01 06,147.574,cm,
MNOW1,MF NOOKSACK,48.82460,-121.92950,1518 meters,swe,2007-03-01 06,145.796,cm,
OMWW1,OLALLIE MEADOWS,47.37410,-121.44210,1128 meters,swe,2007-03-01 06,144.780,cm,
CAYW1,CAYUSE PASS,46.87170,-121.53200,1585 meters,swe,2007-03-01 06,144.272,cm,
PCRW1,PARK CREEK RIDGE,48.44490,-120.91550,1402 meters,swe,2007-03-01 06,133.096,cm,
APSW1,ALPINE MEADOWS,47.77960,-121.69850,1067 meters,swe,2007-03-01 06,130.556,cm,
SAWW1,SAWMILL RIDGE,47.15990,-121.42170,1433 meters,swe,2007-03-01 06,127.254,cm,
MIRW1,MINERS RIDGE,48.20180,-120.95620,1890 meters,swe,2007-03-01 06,126.746,cm,
PGPW1,PIGTAIL PEAK,46.62150,-121.38630,1798 meters,swe,2007-03-01 06,126.238,cm,
MRSW1,MORSE LAKE,46.90570,-121.48270,1646 meters,swe,2007-03-01 06,124.460,cm,
REDO3,RED HILL,45.46430,-121.70430,1341 meters,swe,2007-03-01 06,123.952,cm,
BRMI1,BEAR MOUNTAIN,48.30580,-116.07450,1646 meters,swe,2007-03-01 06,123.444,cm,
MTHO3,MT HOOD TEST SITE,45.32100,-121.71580,1646 meters,swe,2007-03-01 06,121.666,cm,
MOLQ2,MOLSON CRK,52.22222,-118.23889,-9999 meters,swe,2007-03-01 06,120.828,cm,
MTRQ2,MT. REVELSTOKE,51.03611,-118.14444,-9999 meters,swe,2007-03-01 06,119.583,cm,
