! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id,Name,Latitude,Longitude,Elevation,Physical_Element,DateTime_Report(UTC),Amount,Units,Zip_Code,
EPSW1,21A07 - EASY PASS AM,48.85930,-121.43890,1600 meters,swe,2012-03-02 06,245.364,cm,00072,
CWRQ2,CHILLIWACK RIVER SNOW PILLOW,49.03330,-121.71670,1567 meters,swe,2012-03-02 06,176.606,cm,,
AFSW1,PARADISE,46.78150,-121.74700,1570 meters,swe,2012-03-02 06,164.338,cm,98361,
TAHQ2,TAHTSA LAKE WEST SNOW PILLOW,53.56670,-127.63330,1580 meters,swe,2012-03-02 06,162.611,cm,,
TSAQ2,TSAI CREEK,54.64600,-127.67500,1366 meters,swe,2012-03-02 06,160.706,cm,,
MNOW1,MF NOOKSACK,48.82460,-121.92950,1504 meters,swe,2012-03-02 06,155.702,cm,00072,
SZKQ2,SPUZZUM CREEK SNOW PILLOW,49.66060,-121.65890,1198 meters,swe,2012-03-02 06,155.194,cm,,
MRTW1,MARTEN RIDGE,48.76300,-121.69820,1082 meters,swe,2012-03-02 06,152.146,cm,00072,
PGPW1,PIGTAIL PEAK,46.62150,-121.38630,1772 meters,swe,2012-03-02 06,149.098,cm,98937,
BRTW1,BROWN TOP,48.92750,-121.19710,1781 meters,swe,2012-03-02 06,141.986,cm,00072,
OMWW1,OLALLIE MEADOWS,47.37410,-121.44210,1227 meters,swe,2012-03-02 06,140.970,cm,98922,
BKHW1,BUCKINGHORSE,47.70840,-123.46060,1412 meters,swe,2012-03-02 06,139.700,cm,98563,
CAYW1,CAYUSE PASS,46.87170,-121.53200,1635 meters,swe,2012-03-02 06,134.112,cm,98022,
PPAQ2,PINE PASS,55.35310,-122.63720,1386 meters,swe,2012-03-02 06,133.401,cm,,
BHPYN_MADIS,PINE PASS,55.35310,-122.63720,1386 meters,swe,2012-03-02 06,133.401,cm,,
LYLW1,LYMAN LAKE,48.19070,-120.91900,1986 meters,swe,2012-03-02 06,128.778,cm,98852,
MRSW1,MORSE LAKE,46.90570,-121.48270,1650 meters,swe,2012-03-02 06,125.984,cm,98937,
BRMI1,BEAR MOUNTAIN,48.30580,-116.07450,1663 meters,swe,2012-03-02 06,124.968,cm,83836,
MTHO3,MT HOOD TEST SITE,45.32100,-121.71580,1649 meters,swe,2012-03-02 06,124.460,cm,97028,
